county,county_code,eligible_voters,total_votes,Kaczynski,Tusk
bolesławiecki,20100.0,70084.0,31310.0,14543.0,16767.0
dzierżoniowski,20200.0,88368.0,40227.0,19729.0,20498.0
głogowski,20300.0,71536.0,35120.0,18530.0,16590.0
górowski,20400.0,28517.0,11387.0,6486.0,4901.0
jaworski,20500.0,42512.0,18163.0,9664.0,8499.0
jeleniogórski,20600.0,53114.0,24232.0,8971.0,15261.0
kamiennogórski,20700.0,37884.0,16926.0,7714.0,9212.0
kłodzki,20800.0,140538.0,62948.0,29333.0,33615.0
legnicki,20900.0,41821.0,17738.0,9672.0,8066.0
lubański,21000.0,47162.0,20685.0,9697.0,10988.0
lubiński,21100.0,85742.0,41898.0,22772.0,19126.0
lwówecki,21200.0,38697.0,15628.0,7351.0,8277.0
milicki,21300.0,28904.0,12815.0,6828.0,5987.0
oleśnicki,21400.0,81040.0,36549.0,17961.0,18588.0
oławski,21500.0,56848.0,29147.0,15804.0,13343.0
polkowicki,21600.0,47149.0,21622.0,12773.0,8849.0
strzeliński,21700.0,36399.0,16673.0,9410.0,7263.0
średzki,21800.0,38672.0,16098.0,8803.0,7295.0
świdnicki,21900.0,130874.0,61690.0,30491.0,31199.0
trzebnicki,22000.0,60420.0,27119.0,13853.0,13266.0
wałbrzyski,22100.0,153698.0,68516.0,28823.0,39693.0
wołowski,22200.0,39594.0,18344.0,9201.0,9143.0
wrocławski,22300.0,77407.0,38597.0,20792.0,17805.0
ząbkowicki,22400.0,56123.0,24774.0,12964.0,11810.0
zgorzelecki,22500.0,76940.0,34984.0,15454.0,19530.0
złotoryjski,22600.0,36990.0,15851.0,8046.0,7805.0
Jelenia Góra,26101.0,71398.0,36795.0,13986.0,22809.0
Legnica,26201.0,83525.0,41303.0,19344.0,21959.0
Wrocław,26401.0,514697.0,302743.0,124894.0,177849.0
aleksandrowski,40100.0,44765.0,19219.0,11076.0,8143.0
brodnicki,40200.0,58215.0,25335.0,15837.0,9498.0
bydgoski,40300.0,71399.0,32104.0,16768.0,15336.0
chełmiński,40400.0,40217.0,15875.0,8717.0,7158.0
golubsko-dobrzyński,40500.0,34335.0,13938.0,9108.0,4830.0
grudziądzki,40600.0,29695.0,10860.0,6561.0,4299.0
inowrocławski,40700.0,132163.0,54990.0,27812.0,27178.0
lipnowski,40800.0,51124.0,19053.0,12662.0,6391.0
mogileński,40900.0,36569.0,15196.0,9360.0,5836.0
nakielski,41000.0,66371.0,29583.0,14949.0,14634.0
radziejowski,41100.0,34220.0,12084.0,8241.0,3843.0
rypiński,41200.0,34985.0,13480.0,8756.0,4724.0
sępoleński,41300.0,31720.0,13015.0,7338.0,5677.0
świecki,41400.0,76527.0,32021.0,16535.0,15486.0
toruński,41500.0,65970.0,27916.0,16926.0,10990.0
tucholski,41600.0,36067.0,16442.0,9621.0,6821.0
wąbrzeski,41700.0,27415.0,10672.0,5637.0,5035.0
włocławski,41800.0,67551.0,23527.0,15437.0,8090.0
żniński,41900.0,54833.0,23303.0,12947.0,10356.0
Bydgoszcz,46101.0,297177.0,164255.0,77962.0,86293.0
Grudziądz,46201.0,80240.0,36631.0,15718.0,20913.0
Toruń,46301.0,164000.0,92138.0,42984.0,49154.0
Włocławek,46401.0,96872.0,46393.0,21837.0,24556.0
bialski,60100.0,88776.0,41986.0,30987.0,10999.0
biłgorajski,60200.0,81849.0,40593.0,32075.0,8518.0
chełmski,60300.0,58352.0,23238.0,17257.0,5981.0
hrubieszowski,60400.0,57709.0,24366.0,18123.0,6243.0
janowski,60500.0,38192.0,22213.0,19598.0,2615.0
krasnostawski,60600.0,63037.0,26754.0,19685.0,7069.0
kraśnicki,60700.0,80370.0,40819.0,31651.0,9168.0
lubartowski,60800.0,71910.0,35430.0,26234.0,9196.0
lubelski,60900.0,106811.0,53250.0,42491.0,10759.0
łęczyński,61000.0,43618.0,20957.0,15646.0,5311.0
łukowski,61100.0,83828.0,41837.0,32320.0,9517.0
opolski,61200.0,51071.0,22305.0,17287.0,5018.0
parczewski,61300.0,29744.0,13787.0,10322.0,3465.0
puławski,61400.0,95340.0,48852.0,32319.0,16533.0
radzyński,61500.0,49009.0,24414.0,19075.0,5339.0
rycki,61600.0,47952.0,23339.0,16495.0,6844.0
świdnicki,61700.0,58549.0,29531.0,19822.0,9709.0
tomaszowski,61800.0,72181.0,31946.0,24121.0,7825.0
włodawski,61900.0,33453.0,14883.0,9855.0,5028.0
zamojski,62000.0,87495.0,41389.0,34504.0,6885.0
Biała Podlaska,66101.0,44839.0,23975.0,14416.0,9559.0
Chełm,66201.0,56060.0,26938.0,15797.0,11141.0
Lublin,66301.0,281566.0,167796.0,94097.0,73699.0
Zamość,66401.0,53689.0,27131.0,17424.0,9707.0
gorzowski,80100.0,49650.0,21635.0,10492.0,11143.0
krośnieński,80200.0,44923.0,17982.0,6916.0,11066.0
międzyrzecki,80300.0,47361.0,20065.0,8539.0,11526.0
nowosolski,80400.0,68934.0,31231.0,14295.0,16936.0
słubicki,80500.0,36238.0,15487.0,6105.0,9382.0
strzelecko-drezdenecki,80600.0,39859.0,15211.0,6845.0,8366.0
sulęciński,80700.0,28138.0,11756.0,5647.0,6109.0
świebodziński,80800.0,43743.0,19274.0,8107.0,11167.0
zielonogórski,80900.0,68707.0,31008.0,12398.0,18610.0
żagański,81000.0,65878.0,26573.0,11395.0,15178.0
żarski,81100.0,79177.0,32261.0,12967.0,19294.0
wschowski,81200.0,29663.0,13066.0,6382.0,6684.0
Gorzów Wielkopolski,86101.0,99742.0,51110.0,23281.0,27829.0
Zielona Góra,86201.0,93961.0,52923.0,19240.0,33683.0
bełchatowski,100100.0,88920.0,45060.0,32217.0,12843.0
kutnowski,100200.0,86232.0,36391.0,24137.0,12254.0
łaski,100300.0,40594.0,18259.0,12408.0,5851.0
łęczycki,100400.0,44242.0,18319.0,12896.0,5423.0
łowicki,100500.0,66820.0,30508.0,21459.0,9049.0
łódzki wschodni,100600.0,51001.0,26437.0,17032.0,9405.0
opoczyński,100700.0,61997.0,31899.0,24821.0,7078.0
pabianicki,100800.0,97263.0,50707.0,27806.0,22901.0
pajęczański,100900.0,42402.0,18338.0,13789.0,4549.0
piotrkowski,101000.0,70483.0,33469.0,26711.0,6758.0
poddębicki,101100.0,34517.0,13975.0,10255.0,3720.0
radomszczański,101200.0,95179.0,41321.0,28424.0,12897.0
rawski,101300.0,39759.0,16919.0,12541.0,4378.0
sieradzki,101400.0,97507.0,46101.0,31972.0,14129.0
skierniewicki,101500.0,29843.0,14350.0,11576.0,2774.0
tomaszowski,101600.0,97814.0,48583.0,31016.0,17567.0
wieluński,101700.0,62479.0,28726.0,19186.0,9540.0
wieruszowski,101800.0,33339.0,14786.0,9941.0,4845.0
zduńskowolski,101900.0,53797.0,26376.0,16144.0,10232.0
zgierski,102000.0,130266.0,63531.0,36715.0,26816.0
brzeziński,102100.0,24492.0,11541.0,8362.0,3179.0
Łódź,106101.0,628658.0,342804.0,153929.0,188875.0
Piotrków Trybunalski,106201.0,64185.0,34485.0,20144.0,14341.0
Skierniewice,106301.0,38748.0,20318.0,10604.0,9714.0
bocheński,120100.0,76106.0,42930.0,30170.0,12760.0
brzeski,120200.0,68241.0,36928.0,26410.0,10518.0
chrzanowski,120300.0,103920.0,52647.0,27200.0,25447.0
dąbrowski,120400.0,45506.0,22636.0,18749.0,3887.0
gorlicki,120500.0,83472.0,42208.0,29723.0,12485.0
krakowski,120600.0,188018.0,101417.0,63312.0,38105.0
limanowski,120700.0,89117.0,49456.0,38494.0,10962.0
miechowski ,120800.0,41319.0,16923.0,12454.0,4469.0
myślenicki,120900.0,86509.0,49056.0,33594.0,15462.0
nowosądecki,121000.0,145032.0,84477.0,66287.0,18190.0
nowotarski,121100.0,136289.0,69850.0,45136.0,24714.0
olkuski,121200.0,92864.0,45209.0,27764.0,17445.0
oświęcimski,121300.0,122311.0,68604.0,39093.0,29511.0
proszowicki,121400.0,34468.0,14016.0,10935.0,3081.0
Suski,121500.0,62721.0,34238.0,23051.0,11187.0
tarnowski,121600.0,144151.0,77573.0,59692.0,17881.0
tatrzański,121700.0,52523.0,28733.0,16453.0,12280.0
wadowicki,121800.0,119352.0,66391.0,41108.0,25283.0
wielicki,121900.0,79357.0,43742.0,26023.0,17719.0
Kraków,126101.0,598865.0,371232.0,165936.0,205296.0
Nowy Sącz,126201.0,65548.0,39242.0,24061.0,15181.0
Tarnów,126301.0,95222.0,52466.0,29043.0,23423.0
białobrzeski,140100.0,25895.0,12334.0,9521.0,2813.0
ciechanowski,140200.0,72408.0,32261.0,21444.0,10817.0
