county,county_code,eligible_voters,total_votes,Jurek,Kaczynski,Komorowski,Korwin-Mikke,Lepper,Morawiecki,Napieralski,Olechowski,Pawlak,Zietek
bolesławiecki,20100.0,71302.0,35633.0,290.0,10453.0,16855.0,868.0,503.0,70.0,5649.0,481.0,420.0,44.0
dzierżoniowski,20200.0,87348.0,42926.0,337.0,13181.0,20328.0,1021.0,545.0,70.0,6250.0,667.0,429.0,98.0
głogowski,20300.0,71551.0,39355.0,298.0,14449.0,14823.0,868.0,501.0,54.0,7370.0,598.0,317.0,77.0
górowski,20400.0,28860.0,12561.0,84.0,4010.0,5241.0,260.0,313.0,17.0,2202.0,166.0,244.0,24.0
jaworski,20500.0,42549.0,20489.0,158.0,6966.0,8471.0,392.0,386.0,48.0,3440.0,238.0,356.0,34.0
jeleniogórski,20600.0,53748.0,27457.0,216.0,6572.0,14914.0,644.0,293.0,49.0,3999.0,406.0,299.0,65.0
kamiennogórski,20700.0,37237.0,18460.0,170.0,5054.0,9131.0,302.0,271.0,21.0,3049.0,232.0,206.0,24.0
kłodzki,20800.0,139213.0,67881.0,555.0,19937.0,33506.0,1450.0,929.0,112.0,9267.0,901.0,1080.0,144.0
legnicki,20900.0,42931.0,20997.0,186.0,7210.0,8530.0,411.0,512.0,39.0,3405.0,262.0,395.0,47.0
lubański,21000.0,47110.0,23085.0,146.0,6616.0,10951.0,440.0,413.0,36.0,3846.0,291.0,300.0,46.0
lubiński,21100.0,85734.0,46037.0,248.0,18952.0,16128.0,1096.0,463.0,91.0,7884.0,711.0,398.0,66.0
lwówecki,21200.0,38636.0,17764.0,139.0,5212.0,8329.0,428.0,329.0,27.0,2715.0,241.0,311.0,33.0
milicki,21300.0,29466.0,13776.0,160.0,4632.0,5561.0,251.0,377.0,26.0,2261.0,169.0,326.0,13.0
oleśnicki,21400.0,83441.0,42186.0,280.0,12596.0,19637.0,1084.0,622.0,90.0,6623.0,615.0,575.0,64.0
oławski,21500.0,58922.0,32310.0,280.0,11485.0,13925.0,805.0,435.0,54.0,4368.0,547.0,354.0,57.0
polkowicki,21600.0,48407.0,24765.0,219.0,10538.0,7898.0,494.0,392.0,36.0,4559.0,285.0,307.0,37.0
strzeliński,21700.0,36771.0,18055.0,148.0,6570.0,7542.0,339.0,404.0,44.0,2352.0,227.0,373.0,56.0
średzki,21800.0,40228.0,18813.0,127.0,6342.0,8356.0,436.0,333.0,47.0,2585.0,223.0,343.0,21.0
świdnicki,21900.0,130998.0,67541.0,591.0,20888.0,31068.0,1814.0,808.0,123.0,10469.0,1002.0,629.0,149.0
trzebnicki,22000.0,63167.0,31724.0,242.0,10587.0,14745.0,723.0,506.0,67.0,3926.0,458.0,431.0,39.0
wałbrzyski,22100.0,147094.0,71674.0,494.0,17190.0,37426.0,1597.0,749.0,113.0,12308.0,1100.0,555.0,142.0
wołowski,22200.0,39836.0,20128.0,184.0,6547.0,9446.0,469.0,309.0,37.0,2584.0,271.0,247.0,34.0
wrocławski,22300.0,87334.0,47929.0,473.0,16367.0,21925.0,1369.0,654.0,112.0,5461.0,814.0,706.0,48.0
ząbkowicki,22400.0,56189.0,26737.0,185.0,8682.0,12048.0,530.0,578.0,55.0,3815.0,296.0,493.0,55.0
zgorzelecki,22500.0,76239.0,38303.0,265.0,11754.0,17646.0,879.0,429.0,53.0,6270.0,589.0,358.0,60.0
złotoryjski,22600.0,36809.0,17816.0,98.0,5799.0,7847.0,388.0,349.0,36.0,2813.0,211.0,261.0,14.0
Jelenia Góra,26101.0,69146.0,39234.0,238.0,10104.0,20804.0,1019.0,247.0,43.0,5770.0,661.0,293.0,55.0
Legnica,26201.0,81567.0,44706.0,334.0,14111.0,20276.0,1174.0,310.0,100.0,7372.0,683.0,286.0,60.0
Wrocław,26401.0,508576.0,316487.0,2875.0,91559.0,165308.0,11263.0,1388.0,1209.0,34101.0,6566.0,1721.0,497.0
aleksandrowski,40100.0,46335.0,23845.0,106.0,7901.0,9647.0,421.0,579.0,43.0,4302.0,259.0,541.0,46.0
brodnicki,40200.0,59960.0,29225.0,199.0,10304.0,11235.0,417.0,764.0,35.0,4679.0,289.0,1267.0,36.0
bydgoski,40300.0,80045.0,42709.0,295.0,10538.0,21207.0,1086.0,736.0,71.0,7252.0,720.0,734.0,70.0
chełmiński,40400.0,40470.0,18417.0,133.0,5033.0,8312.0,437.0,433.0,31.0,3289.0,234.0,472.0,43.0
golubsko-dobrzyński,40500.0,35308.0,16401.0,122.0,5965.0,5908.0,245.0,595.0,24.0,2815.0,125.0,581.0,21.0
grudziądzki,40600.0,30832.0,13507.0,110.0,4009.0,5581.0,194.0,498.0,16.0,2377.0,154.0,535.0,33.0
inowrocławski,40700.0,133169.0,68046.0,390.0,17606.0,30979.0,1172.0,1161.0,100.0,14259.0,832.0,1402.0,145.0
lipnowski,40800.0,52200.0,21954.0,112.0,8428.0,7629.0,316.0,674.0,32.0,3665.0,212.0,840.0,46.0
mogileński,40900.0,37285.0,18089.0,100.0,4988.0,7564.0,329.0,453.0,28.0,3648.0,171.0,729.0,79.0
nakielski,41000.0,68061.0,34357.0,240.0,8751.0,16291.0,705.0,835.0,60.0,6106.0,432.0,883.0,54.0
radziejowski,41100.0,34593.0,15737.0,62.0,5790.0,4707.0,225.0,721.0,10.0,3309.0,132.0,741.0,40.0
rypiński,41200.0,35566.0,16163.0,79.0,6483.0,5443.0,251.0,339.0,23.0,2806.0,153.0,564.0,22.0
