county,county_code,eligible_voters,total_votes,Kaczynski,Komorowski
bolesławiecki,20100.0,71006.0,34500.0,13546.0,20954.0
dzierżoniowski,20200.0,86899.0,41870.0,16706.0,25164.0
głogowski,20300.0,70533.0,36761.0,18253.0,18508.0
górowski,20400.0,28822.0,12367.0,5539.0,6828.0
jaworski,20500.0,42336.0,20022.0,9042.0,10980.0
jeleniogórski,20600.0,55518.0,29010.0,9060.0,19950.0
kamiennogórski,20700.0,37213.0,18268.0,6702.0,11566.0
kłodzki,20800.0,140876.0,68981.0,26226.0,42755.0
legnicki,20900.0,42696.0,20312.0,9313.0,10999.0
lubański,21000.0,46768.0,22390.0,8426.0,13964.0
lubiński,21100.0,84867.0,44628.0,24653.0,19975.0
lwówecki,21200.0,38535.0,17620.0,6830.0,10790.0
milicki,21300.0,29390.0,13888.0,6351.0,7537.0
oleśnicki,21400.0,82461.0,40921.0,16010.0,24911.0
oławski,21500.0,58361.0,31722.0,14281.0,17441.0
polkowicki,21600.0,47923.0,23902.0,13862.0,10040.0
strzeliński,21700.0,36661.0,18282.0,8617.0,9665.0
średzki,21800.0,40098.0,18796.0,8275.0,10521.0
świdnicki,21900.0,129757.0,65266.0,26426.0,38840.0
trzebnicki,22000.0,62856.0,31444.0,13648.0,17796.0
wałbrzyski,22100.0,145695.0,69740.0,22536.0,47204.0
wołowski,22200.0,39772.0,19958.0,8509.0,11449.0
wrocławski,22300.0,86972.0,47418.0,20573.0,26845.0
ząbkowicki,22400.0,56182.0,26482.0,11371.0,15111.0
zgorzelecki,22500.0,75667.0,37297.0,14999.0,22298.0
złotoryjski,22600.0,36706.0,17211.0,7348.0,9863.0
Jelenia Góra,26101.0,68974.0,38137.0,12499.0,25638.0
Legnica,26201.0,80863.0,42723.0,17257.0,25466.0
Wrocław,26401.0,499152.0,303098.0,107396.0,195702.0
aleksandrowski,40100.0,46750.0,23976.0,10861.0,13115.0
brodnicki,40200.0,60362.0,29682.0,14299.0,15383.0
bydgoski,40300.0,79944.0,41058.0,14122.0,26936.0
chełmiński,40400.0,40262.0,17630.0,6844.0,10786.0
golubsko-dobrzyński,40500.0,35344.0,16241.0,8543.0,7698.0
grudziądzki,40600.0,30712.0,13182.0,5919.0,7263.0
inowrocławski,40700.0,132504.0,64687.0,23742.0,40945.0
lipnowski,40800.0,52444.0,22696.0,11975.0,10721.0
mogileński,40900.0,37354.0,17232.0,7233.0,9999.0
nakielski,41000.0,67783.0,33269.0,12437.0,20832.0
radziejowski,41100.0,34851.0,15779.0,8502.0,7277.0
rypiński,41200.0,35566.0,16374.0,9017.0,7357.0
sępoleński,41300.0,32664.0,15177.0,5779.0,9398.0
świecki,41400.0,77842.0,36470.0,13445.0,23025.0
toruński,41500.0,72371.0,34394.0,15093.0,19301.0
tucholski,41600.0,37870.0,19515.0,8552.0,10963.0
wąbrzeski,41700.0,27593.0,12306.0,4738.0,7568.0
włocławski,41800.0,69869.0,30927.0,16021.0,14906.0
żniński,41900.0,55871.0,26808.0,10921.0,15887.0
Bydgoszcz,46101.0,285000.0,162973.0,56672.0,106301.0
Grudziądz,46201.0,78460.0,39973.0,12580.0,27393.0
Toruń,46301.0,158812.0,92465.0,33860.0,58605.0
Włocławek,46401.0,92899.0,50170.0,17031.0,33139.0
bialski,60100.0,90379.0,47992.0,30407.0,17585.0
biłgorajski,60200.0,83643.0,44968.0,31800.0,13168.0
chełmski,60300.0,64458.0,27952.0,17309.0,10643.0
