county,county_code,eligible_voters,total_votes,Braun,Duda,Jarubas,Komorowski,Korwin-Mikke,Kowalski,Kukiz,Ogórek,Palikot,Tanajno,Wilk
bolesławiecki,20100.0,71126.0,31001.0,295.0,9449.0,296.0,11379.0,1131.0,151.0,6942.0,786.0,409.0,39.0,124.0
dzierżoniowski,20200.0,84530.0,37500.0,212.0,11763.0,313.0,14513.0,1116.0,197.0,7748.0,919.0,535.0,50.0,134.0
głogowski,20300.0,70842.0,34267.0,188.0,12079.0,274.0,11537.0,837.0,144.0,7635.0,954.0,421.0,49.0,149.0
górowski,20400.0,28487.0,10728.0,61.0,3660.0,251.0,3711.0,307.0,47.0,2251.0,254.0,132.0,10.0,44.0
jaworski,20500.0,41953.0,17967.0,146.0,6205.0,281.0,6115.0,502.0,62.0,3909.0,441.0,201.0,30.0,75.0
jeleniogórski,20600.0,52408.0,22755.0,124.0,5467.0,217.0,10333.0,635.0,85.0,4724.0,568.0,446.0,45.0,111.0
kamiennogórski,20700.0,36469.0,15538.0,75.0,4739.0,132.0,6328.0,313.0,77.0,3184.0,432.0,177.0,21.0,60.0
kłodzki,20800.0,134514.0,57098.0,397.0,17133.0,742.0,22301.0,1675.0,253.0,12029.0,1461.0,832.0,70.0,205.0
legnicki,20900.0,43350.0,19205.0,121.0,6711.0,259.0,6452.0,584.0,89.0,4241.0,447.0,214.0,26.0,61.0
lubański,21000.0,45638.0,19448.0,92.0,5657.0,177.0,7918.0,503.0,87.0,4079.0,617.0,232.0,23.0,63.0
lubiński,21100.0,84488.0,43545.0,252.0,16300.0,292.0,12082.0,1005.0,160.0,11691.0,1054.0,509.0,43.0,157.0
lwówecki,21200.0,37935.0,15071.0,106.0,4542.0,224.0,5632.0,413.0,57.0,3443.0,405.0,184.0,13.0,52.0
milicki,21300.0,29590.0,12648.0,72.0,4736.0,199.0,4566.0,270.0,56.0,2168.0,380.0,139.0,14.0,48.0
oleśnicki,21400.0,84989.0,37652.0,307.0,10995.0,375.0,15064.0,1250.0,153.0,7889.0,911.0,491.0,56.0,161.0
oławski,21500.0,59684.0,29625.0,253.0,9849.0,264.0,10058.0,885.0,128.0,7074.0,592.0,344.0,52.0,126.0
polkowicki,21600.0,49132.0,23834.0,125.0,10038.0,202.0,6201.0,685.0,141.0,5549.0,564.0,214.0,27.0,88.0
strzeliński,21700.0,36463.0,15945.0,77.0,5762.0,216.0,5328.0,386.0,78.0,3413.0,410.0,203.0,27.0,45.0
średzki,21800.0,41780.0,18160.0,169.0,5918.0,214.0,6326.0,587.0,60.0,4168.0,393.0,211.0,30.0,84.0
świdnicki,21900.0,128679.0,58893.0,402.0,17547.0,488.0,22797.0,2163.0,268.0,12623.0,1408.0,866.0,108.0,223.0
trzebnicki,22000.0,65772.0,30062.0,279.0,9894.0,334.0,11034.0,980.0,162.0,6120.0,639.0,436.0,50.0,134.0
wałbrzyski,22100.0,139111.0,58935.0,362.0,14861.0,492.0,25421.0,1840.0,221.0,12669.0,1700.0,1079.0,84.0,206.0
wołowski,22200.0,39739.0,17410.0,121.0,5787.0,155.0,6570.0,452.0,81.0,3479.0,473.0,214.0,27.0,51.0
wrocławski,22300.0,100374.0,51659.0,432.0,15638.0,518.0,19010.0,1796.0,196.0,11801.0,929.0,875.0,138.0,326.0
ząbkowicki,22400.0,54723.0,23404.0,125.0,7732.0,337.0,8593.0,596.0,102.0,4986.0,536.0,285.0,34.0,78.0
zgorzelecki,22500.0,74495.0,32802.0,204.0,10420.0,262.0,11527.0,890.0,131.0,7884.0,886.0,440.0,47.0,111.0
złotoryjski,22600.0,36372.0,15595.0,94.0,5082.0,188.0,5481.0,449.0,49.0,3564.0,424.0,195.0,19.0,50.0
Jelenia Góra,26101.0,66222.0,31389.0,184.0,7943.0,213.0,13834.0,854.0,97.0,6467.0,930.0,663.0,49.0,155.0
Legnica,26201.0,79152.0,37550.0,270.0,11651.0,219.0,13442.0,1080.0,148.0,8935.0,995.0,624.0,44.0,142.0
Wrocław,26401.0,500161.0,273450.0,3391.0,71792.0,1539.0,110040.0,11000.0,1171.0,59593.0,6080.0,5942.0,1120.0,1782.0
aleksandrowski,40100.0,45838.0,19993.0,124.0,6717.0,359.0,7299.0,472.0,96.0,3984.0,589.0,240.0,32.0,81.0
brodnicki,40200.0,60819.0,26048.0,131.0,8910.0,530.0,9040.0,670.0,119.0,5635.0,642.0,243.0,31.0,97.0
bydgoski,40300.0,86094.0,39295.0,252.0,10086.0,400.0,15768.0,1479.0,170.0,9024.0,1155.0,663.0,77.0,221.0
chełmiński,40400.0,40345.0,16453.0,78.0,5145.0,262.0,6465.0,442.0,94.0,3212.0,487.0,178.0,18.0,72.0
golubsko-dobrzyński,40500.0,35975.0,14430.0,59.0,5344.0,306.0,4640.0,329.0,63.0,2983.0,479.0,160.0,17.0,50.0
grudziądzki,40600.0,31343.0,12068.0,57.0,3991.0,289.0,4555.0,391.0,84.0,2175.0,324.0,131.0,18.0,53.0
inowrocławski,40700.0,131942.0,57068.0,306.0,16713.0,798.0,21773.0,1662.0,254.0,12496.0,1870.0,893.0,74.0,229.0
lipnowski,40800.0,52627.0,19642.0,88.0,7470.0,756.0,6135.0,530.0,88.0,3672.0,617.0,197.0,28.0,61.0
mogileński,40900.0,37286.0,15475.0,71.0,4482.0,328.0,5948.0,491.0,87.0,3236.0,550.0,192.0,23.0,67.0
nakielski,41000.0,68148.0,28705.0,163.0,8071.0,502.0,12243.0,925.0,142.0,5251.0,922.0,368.0,35.0,83.0
radziejowski,41100.0,34393.0,13076.0,57.0,4936.0,348.0,3998.0,323.0,54.0,2642.0,502.0,143.0,9.0,64.0
rypiński,41200.0,35508.0,13436.0,65.0,5469.0,256.0,4388.0,304.0,56.0,2367.0,320.0,140.0,12.0,59.0
sępoleński,41300.0,32423.0,13266.0,61.0,3792.0,246.0,5947.0,305.0,52.0,2208.0,444.0,163.0,9.0,39.0
świecki,41400.0,78149.0,32462.0,162.0,9262.0,516.0,13539.0,1074.0,182.0,6289.0,880.0,371.0,50.0,137.0
toruński,41500.0,77901.0,33296.0,184.0,10725.0,494.0,11986.0,1128.0,180.0,7194.0,787.0,412.0,62.0,144.0
tucholski,41600.0,37859.0,16554.0,88.0,5561.0,322.0,6360.0,508.0,66.0,2856.0,545.0,172.0,15.0,61.0
wąbrzeski,41700.0,27469.0,10747.0,35.0,3011.0,223.0,4254.0,335.0,55.0,2322.0,333.0,112.0,21.0,46.0
włocławski,41800.0,70337.0,25287.0,124.0,9116.0,584.0,8387.0,616.0,105.0,5015.0,856.0,341.0,33.0,110.0
żniński,41900.0,55974.0,23498.0,138.0,7000.0,485.0,9422.0,745.0,99.0,4433.0,772.0,277.0,29.0,98.0
Bydgoszcz,46101.0,278843.0,139063.0,1059.0,37668.0,830.0,57886.0,4330.0,540.0,29498.0,3732.0,2522.0,300.0,698.0
Grudziądz,46201.0,74274.0,33124.0,159.0,8883.0,240.0,14872.0,1018.0,147.0,6161.0,961.0,507.0,33.0,143.0
Toruń,46301.0,156848.0,80756.0,681.0,23082.0,470.0,33224.0,2694.0,376.0,16116.0,1913.0,1532.0,218.0,450.0
Włocławek,46401.0,91427.0,40280.0,236.0,10561.0,302.0,16087.0,970.0,181.0,9504.0,1439.0,774.0,63.0,163.0
bialski,60100.0,90570.0,42163.0,492.0,18479.0,1171.0,10255.0,1332.0,366.0,8342.0,1079.0,403.0,59.0,185.0
biłgorajski,60200.0,83362.0,40034.0,467.0,19979.0,1096.0,6432.0,1387.0,364.0,8169.0,779.0,1135.0,43.0,183.0
chełmski,60300.0,64601.0,25540.0,181.0,11074.0,1095.0,5539.0,697.0,257.0,5595.0,636.0,346.0,35.0,85.0
hrubieszowski,60400.0,55504.0,22918.0,171.0,10409.0,671.0,5391.0,609.0,137.0,4584.0,533.0,310.0,20.0,83.0
janowski,60500.0,38431.0,20252.0,207.0,12998.0,527.0,2260.0,581.0,158.0,2857.0,394.0,196.0,14.0,60.0
krasnostawski,60600.0,55413.0,23666.0,180.0,10178.0,730.0,5413.0,742.0,269.0,5068.0,572.0,407.0,24.0,83.0
kraśnicki,60700.0,79449.0,37376.0,378.0,18488.0,1479.0,7199.0,1021.0,403.0,6966.0,844.0,443.0,44.0,111.0
lubartowski,60800.0,71728.0,35017.0,330.0,16359.0,1234.0,6878.0,1161.0,440.0,7113.0,737.0,570.0,42.0,153.0
lubelski,60900.0,118973.0,58754.0,685.0,26714.0,2057.0,11065.0,1957.0,920.0,13091.0,923.0,987.0,87.0,268.0
łęczyński,61000.0,45506.0,21838.0,285.0,9459.0,440.0,3905.0,688.0,366.0,5886.0,389.0,300.0,37.0,83.0
łukowski,61100.0,85574.0,41592.0,438.0,22001.0,998.0,7702.0,1181.0,315.0,7612.0,794.0,321.0,60.0,170.0
opolski,61200.0,50585.0,21611.0,192.0,10134.0,789.0,4424.0,511.0,230.0,4303.0,572.0,372.0,26.0,58.0
parczewski,61300.0,29560.0,13180.0,133.0,5774.0,388.0,3137.0,335.0,141.0,2739.0,280.0,183.0,13.0,57.0
puławski,61400.0,95465.0,48154.0,385.0,20534.0,939.0,12419.0,1648.0,433.0,9805.0,934.0,758.0,82.0,217.0
radzyński,61500.0,49028.0,22896.0,249.0,11158.0,839.0,4575.0,601.0,249.0,4382.0,486.0,239.0,23.0,95.0
rycki,61600.0,47061.0,22969.0,191.0,10674.0,700.0,5077.0,712.0,154.0,4451.0,547.0,351.0,33.0,79.0
świdnicki,61700.0,58584.0,29017.0,321.0,12397.0,686.0,5694.0,883.0,321.0,7355.0,591.0,561.0,54.0,154.0
tomaszowski,61800.0,71293.0,31516.0,223.0,14238.0,1039.0,6032.0,739.0,253.0,7800.0,693.0,358.0,34.0,107.0
włodawski,61900.0,33024.0,14454.0,153.0,5552.0,450.0,4035.0,458.0,132.0,2917.0,427.0,253.0,27.0,50.0
zamojski,62000.0,89469.0,40123.0,398.0,20487.0,1115.0,6785.0,1092.0,309.0,8459.0,808.0,453.0,48.0,169.0
Biała Podlaska,66101.0,45711.0,23081.0,343.0,7813.0,322.0,7064.0,897.0,229.0,5304.0,625.0,323.0,31.0,130.0
Chełm,66201.0,53561.0,25209.0,220.0,8975.0,365.0,7085.0,783.0,186.0,6219.0,782.0,451.0,40.0,103.0
Lublin,66301.0,271581.0,149816.0,1927.0,53913.0,1536.0,44639.0,5353.0,1966.0,32481.0,2625.0,4137.0,334.0,905.0
Zamość,66401.0,52838.0,25515.0,331.0,9602.0,269.0,7060.0,682.0,210.0,6181.0,613.0,426.0,31.0,110.0
gorzowski,80100.0,54582.0,22902.0,166.0,6297.0,291.0,9035.0,855.0,95.0,5019.0,646.0,363.0,39.0,96.0
krośnieński,80200.0,44713.0,17153.0,74.0,4329.0,225.0,7357.0,493.0,81.0,3551.0,638.0,310.0,25.0,70.0
międzyrzecki,80300.0,47586.0,20044.0,123.0,5103.0,310.0,8701.0,575.0,107.0,3930.0,738.0,331.0,36.0,90.0
nowosolski,80400.0,69026.0,28704.0,241.0,8822.0,360.0,11316.0,894.0,151.0,5587.0,770.0,416.0,31.0,116.0
słubicki,80500.0,36887.0,14741.0,86.0,3802.0,190.0,6491.0,475.0,59.0,2899.0,448.0,194.0,18.0,79.0
strzelecko-drezdenecki,80600.0,40103.0,15169.0,81.0,4247.0,267.0,6423.0,438.0,61.0,2907.0,502.0,177.0,21.0,45.0
sulęciński,80700.0,28899.0,11739.0,59.0,3405.0,166.0,4651.0,401.0,76.0,2393.0,390.0,147.0,18.0,33.0
świebodziński,80800.0,44369.0,18813.0,124.0,5349.0,197.0,7777.0,726.0,110.0,3669.0,511.0,255.0,30.0,65.0
zielonogórski,80900.0,59880.0,25736.0,148.0,6201.0,333.0,11124.0,1017.0,135.0,5420.0,779.0,417.0,41.0,121.0
żagański,81000.0,64912.0,25777.0,163.0,7005.0,325.0,10369.0,749.0,121.0,5739.0,812.0,365.0,40.0,89.0
żarski,81100.0,78225.0,31533.0,222.0,8463.0,301.0,12829.0,1084.0,126.0,6943.0,934.0,479.0,34.0,118.0
wschowski,81200.0,30947.0,12848.0,125.0,4179.0,150.0,4997.0,447.0,64.0,2345.0,286.0,184.0,19.0,52.0
Gorzów Wielkopolski,86101.0,97420.0,45421.0,359.0,12207.0,332.0,18082.0,1634.0,226.0,10312.0,1261.0,721.0,94.0,193.0
Zielona Góra,86201.0,107000.0,55357.0,370.0,13079.0,461.0,24582.0,2184.0,222.0,11117.0,1665.0,1212.0,144.0,321.0
bełchatowski,100100.0,91387.0,48100.0,424.0,21796.0,532.0,9527.0,1482.0,377.0,11920.0,1244.0,491.0,67.0,240.0
kutnowski,100200.0,82470.0,35343.0,230.0,14502.0,622.0,10670.0,840.0,206.0,6685.0,982.0,419.0,36.0,151.0
łaski,100300.0,41255.0,19588.0,157.0,7529.0,387.0,5330.0,631.0,83.0,4510.0,570.0,252.0,28.0,111.0
łęczycki,100400.0,43290.0,17820.0,77.0,7681.0,480.0,5180.0,488.0,110.0,2959.0,569.0,196.0,15.0,65.0
łowicki,100500.0,65728.0,30693.0,214.0,12635.0,952.0,7663.0,1080.0,207.0,6584.0,872.0,309.0,39.0,138.0
łódzki wschodni,100600.0,55955.0,30318.0,265.0,11722.0,356.0,9342.0,1006.0,158.0,6169.0,646.0,434.0,70.0,150.0
