county,county_code,eligible_voters,total_votes,Duda,Komorowski
bolesławiecki,20100.0,70988.0,34179.0,16050.0,18129.0
dzierżoniowski,20200.0,84242.0,41168.0,18623.0,22545.0
głogowski,20300.0,70562.0,37960.0,20053.0,17907.0
górowski,20400.0,28499.0,12331.0,6167.0,6164.0
jaworski,20500.0,41770.0,19695.0,9789.0,9906.0
jeleniogórski,20600.0,52940.0,25886.0,9344.0,16542.0
kamiennogórski,20700.0,36372.0,17430.0,7609.0,9821.0
kłodzki,20800.0,135304.0,64551.0,28943.0,35608.0
legnicki,20900.0,43191.0,21295.0,10964.0,10331.0
lubański,21000.0,45653.0,21547.0,9244.0,12303.0
lubiński,21100.0,84125.0,46664.0,28504.0,18160.0
lwówecki,21200.0,37817.0,16821.0,7555.0,9266.0
milicki,21300.0,29635.0,14854.0,7439.0,7415.0
oleśnicki,21400.0,84847.0,42471.0,18335.0,24136.0
oławski,21500.0,59602.0,32966.0,16763.0,16203.0
polkowicki,21600.0,48886.0,25944.0,16653.0,9291.0
strzeliński,21700.0,36432.0,18318.0,9595.0,8723.0
średzki,21800.0,41739.0,20670.0,10168.0,10502.0
świdnicki,21900.0,128200.0,65235.0,28863.0,36372.0
trzebnicki,22000.0,65942.0,34396.0,16358.0,18038.0
wałbrzyski,22100.0,138610.0,66319.0,25265.0,41054.0
wołowski,22200.0,39767.0,19903.0,9722.0,10181.0
wrocławski,22300.0,100414.0,58265.0,26814.0,31451.0
ząbkowicki,22400.0,54674.0,25968.0,12534.0,13434.0
zgorzelecki,22500.0,74119.0,35542.0,17674.0,17868.0
złotoryjski,22600.0,36326.0,16978.0,8218.0,8760.0
Jelenia Góra,26101.0,66154.0,34895.0,12995.0,21900.0
Legnica,26201.0,78830.0,41212.0,19225.0,21987.0
Wrocław,26401.0,502829.0,303187.0,124803.0,178384.0
aleksandrowski,40100.0,47163.0,24688.0,12145.0,12543.0
brodnicki,40200.0,60708.0,29664.0,14920.0,14744.0
bydgoski,40300.0,85981.0,45209.0,17643.0,27566.0
chełmiński,40400.0,40183.0,19098.0,8262.0,10836.0
golubsko-dobrzyński,40500.0,35953.0,16893.0,9097.0,7796.0
grudziądzki,40600.0,31201.0,14174.0,6669.0,7505.0
inowrocławski,40700.0,131278.0,66775.0,29021.0,37754.0
lipnowski,40800.0,52449.0,23534.0,12808.0,10726.0
mogileński,40900.0,37225.0,18103.0,8149.0,9954.0
nakielski,41000.0,67985.0,33859.0,13428.0,20431.0
radziejowski,41100.0,34241.0,16342.0,9275.0,7067.0
rypiński,41200.0,35278.0,16220.0,8866.0,7354.0
sępoleński,41300.0,32311.0,15415.0,6073.0,9342.0
świecki,41400.0,77884.0,37456.0,15525.0,21931.0
toruński,41500.0,77862.0,38952.0,18449.0,20503.0
tucholski,41600.0,37877.0,19707.0,9194.0,10513.0
wąbrzeski,41700.0,27388.0,12417.0,5258.0,7159.0
