county,county_code,eligible_voters,total_votes,Biedron,Bosak,Duda,Holownia,Jakubiak,Kosiniak-Kamysz,Piotrowski,Tanajno,Trzaskowski,Witkowski,Zoltek
bolesławiecki,20100.0,68554.0,41035.0,852.0,2759.0,17053.0,6726.0,52.0,633.0,29.0,50.0,12732.0,52.0,97.0
dzierżoniowski,20200.0,78876.0,46340.0,1002.0,2824.0,20403.0,6336.0,55.0,687.0,46.0,82.0,14770.0,46.0,89.0
głogowski,20300.0,67357.0,42019.0,980.0,2499.0,18568.0,5969.0,42.0,736.0,44.0,57.0,13000.0,42.0,82.0
górowski,20400.0,27089.0,14602.0,292.0,906.0,7307.0,1918.0,21.0,378.0,12.0,14.0,3722.0,10.0,22.0
jaworski,20500.0,39708.0,23314.0,479.0,1528.0,11139.0,2607.0,28.0,717.0,27.0,22.0,6708.0,15.0,44.0
jeleniogórski,20600.0,51306.0,31481.0,713.0,1564.0,9898.0,5177.0,50.0,570.0,27.0,46.0,13331.0,48.0,57.0
kamiennogórski,20700.0,34163.0,20006.0,418.0,1096.0,8278.0,2755.0,19.0,349.0,19.0,31.0,6977.0,20.0,44.0
kłodzki,20800.0,127323.0,73793.0,1548.0,4240.0,30301.0,10238.0,95.0,1574.0,71.0,120.0,25372.0,86.0,148.0
legnicki,20900.0,42292.0,25833.0,470.0,1726.0,12585.0,3012.0,37.0,583.0,24.0,36.0,7286.0,27.0,47.0
lubański,21000.0,42803.0,25054.0,534.0,1278.0,9978.0,4397.0,35.0,471.0,17.0,43.0,8241.0,26.0,34.0
lubiński,21100.0,80840.0,51469.0,1182.0,3699.0,24706.0,6010.0,102.0,854.0,56.0,72.0,14616.0,49.0,123.0
lwówecki,21200.0,36031.0,20049.0,470.0,1073.0,8349.0,3135.0,41.0,478.0,35.0,34.0,6388.0,17.0,29.0
milicki,21300.0,28966.0,17296.0,329.0,1026.0,8346.0,2138.0,17.0,437.0,16.0,19.0,4912.0,19.0,37.0
oleśnicki,21400.0,82925.0,50817.0,1012.0,3296.0,20738.0,8267.0,79.0,1087.0,39.0,74.0,16059.0,61.0,105.0
oławski,21500.0,58842.0,38904.0,901.0,2784.0,16446.0,5447.0,61.0,701.0,47.0,50.0,12374.0,30.0,63.0
polkowicki,21600.0,47773.0,28913.0,577.0,2142.0,15285.0,3737.0,49.0,617.0,24.0,46.0,6356.0,24.0,56.0
strzeliński,21700.0,35190.0,21470.0,381.0,1119.0,10819.0,2604.0,34.0,451.0,11.0,25.0,5945.0,29.0,52.0
średzki,21800.0,42697.0,26777.0,465.0,2124.0,11913.0,3166.0,41.0,610.0,32.0,34.0,8289.0,33.0,70.0
świdnicki,21900.0,122236.0,74763.0,1659.0,4772.0,30175.0,10191.0,105.0,1292.0,76.0,102.0,26132.0,90.0,169.0
trzebnicki,22000.0,66749.0,42365.0,881.0,2867.0,18463.0,5503.0,70.0,916.0,32.0,77.0,13428.0,45.0,83.0
wałbrzyski,22100.0,126591.0,73001.0,1831.0,3670.0,25232.0,10958.0,89.0,1182.0,47.0,111.0,29660.0,78.0,143.0
wołowski,22200.0,37919.0,22851.0,486.0,1489.0,10543.0,3007.0,31.0,444.0,25.0,24.0,6720.0,32.0,50.0
wrocławski,22300.0,114949.0,82173.0,1879.0,5879.0,28331.0,12421.0,163.0,1735.0,62.0,154.0,31210.0,128.0,211.0
ząbkowicki,22400.0,51698.0,29800.0,526.0,1508.0,14355.0,3358.0,50.0,887.0,26.0,47.0,8971.0,30.0,42.0
zgorzelecki,22500.0,69729.0,41865.0,936.0,2546.0,17001.0,6963.0,73.0,671.0,38.0,52.0,13453.0,51.0,81.0
złotoryjski,22600.0,34114.0,20132.0,370.0,993.0,9129.0,2866.0,45.0,415.0,17.0,29.0,6203.0,17.0,48.0
Jelenia Góra,26100.0,61184.0,38831.0,1082.0,1945.0,12048.0,5198.0,62.0,596.0,47.0,68.0,17654.0,58.0,73.0
Legnica,26200.0,73001.0,45671.0,1092.0,2849.0,17842.0,5918.0,63.0,758.0,45.0,77.0,16876.0,54.0,97.0
Wrocław,26400.0,503769.0,355769.0,13898.0,25592.0,99770.0,51028.0,714.0,6381.0,362.0,760.0,154972.0,946.0,1346.0
aleksandrowski,40100.0,44064.0,27072.0,535.0,1733.0,12662.0,3313.0,33.0,732.0,29.0,37.0,7922.0,23.0,53.0
brodnicki,40200.0,60584.0,35355.0,514.0,2021.0,16956.0,5210.0,60.0,1295.0,40.0,47.0,9112.0,30.0,70.0
bydgoski,40300.0,90096.0,58741.0,1421.0,3540.0,19107.0,11444.0,82.0,1279.0,58.0,81.0,21507.0,71.0,151.0
chełmiński,40400.0,38753.0,21917.0,452.0,1313.0,9278.0,3579.0,37.0,595.0,17.0,20.0,6568.0,16.0,42.0
golubsko-dobrzyński,40500.0,35185.0,20109.0,393.0,1180.0,10221.0,2845.0,32.0,601.0,16.0,28.0,4735.0,25.0,33.0
grudziądzki,40600.0,30786.0,16668.0,325.0,1169.0,8072.0,2350.0,20.0,543.0,18.0,21.0,4101.0,20.0,29.0
inowrocławski,40700.0,124492.0,74078.0,1635.0,4406.0,29504.0,10838.0,107.0,1941.0,64.0,92.0,25274.0,87.0,130.0
lipnowski,40800.0,51702.0,27567.0,522.0,1499.0,14192.0,3375.0,29.0,1651.0,30.0,28.0,6152.0,26.0,63.0
mogileński,40900.0,36292.0,21055.0,479.0,1293.0,9578.0,3046.0,31.0,851.0,13.0,23.0,5670.0,21.0,50.0
nakielski,41000.0,65792.0,38332.0,763.0,2136.0,16013.0,6631.0,54.0,1093.0,48.0,39.0,11452.0,30.0,73.0
radziejowski,41100.0,33043.0,18784.0,303.0,857.0,10820.0,2165.0,31.0,645.0,16.0,20.0,3874.0,17.0,36.0
rypiński,41200.0,34325.0,19082.0,369.0,939.0,9864.0,2355.0,25.0,610.0,23.0,19.0,4823.0,23.0,32.0
sępoleński,41300.0,31263.0,17648.0,336.0,867.0,7924.0,2936.0,24.0,458.0,13.0,21.0,5011.0,21.0,37.0
świecki,41400.0,75224.0,42920.0,826.0,2519.0,18399.0,7086.0,66.0,1135.0,31.0,78.0,12670.0,29.0,81.0
toruński,41500.0,81313.0,50569.0,1061.0,3506.0,19818.0,8583.0,75.0,1213.0,41.0,76.0,16046.0,43.0,107.0
tucholski,41600.0,37661.0,22804.0,403.0,1474.0,11201.0,3458.0,38.0,610.0,24.0,28.0,5495.0,28.0,45.0
wąbrzeski,41700.0,26399.0,14401.0,266.0,1041.0,6254.0,1796.0,21.0,475.0,14.0,22.0,4446.0,20.0,46.0
włocławski,41800.0,69088.0,38271.0,737.0,1867.0,19821.0,4705.0,50.0,1339.0,30.0,53.0,9568.0,33.0,68.0
żniński,41900.0,54403.0,31929.0,617.0,1857.0,14225.0,5141.0,40.0,988.0,45.0,35.0,8877.0,36.0,68.0
Bydgoszcz,46100.0,258368.0,171863.0,4776.0,9768.0,53669.0,29368.0,215.0,2955.0,159.0,273.0,70006.0,241.0,433.0
Grudziądz,46200.0,68083.0,40095.0,1130.0,2443.0,14031.0,5887.0,40.0,798.0,41.0,51.0,15538.0,48.0,88.0
Toruń,46300.0,148917.0,101374.0,2940.0,6619.0,31228.0,15439.0,129.0,1685.0,96.0,145.0,42726.0,132.0,235.0
Włocławek,46400.0,84171.0,50826.0,1447.0,2485.0,17353.0,7047.0,71.0,742.0,46.0,72.0,21388.0,62.0,113.0
bialski,60100.0,88236.0,53624.0,681.0,4355.0,32136.0,6069.0,113.0,1865.0,96.0,79.0,8009.0,52.0,169.0
biłgorajski,60200.0,81457.0,50015.0,648.0,4706.0,32327.0,3835.0,97.0,1720.0,90.0,70.0,6362.0,34.0,126.0
chełmski,60300.0,62714.0,33830.0,427.0,2422.0,21198.0,3474.0,64.0,1111.0,79.0,39.0,4902.0,33.0,81.0
hrubieszowski,60400.0,52007.0,28329.0,335.0,1753.0,17759.0,2737.0,53.0,1002.0,59.0,20.0,4539.0,16.0,56.0
janowski,60500.0,37018.0,24287.0,259.0,1734.0,18226.0,1310.0,42.0,588.0,116.0,16.0,1946.0,11.0,39.0
krasnostawski,60600.0,52726.0,30109.0,533.0,2235.0,18038.0,2534.0,49.0,1214.0,77.0,27.0,5284.0,31.0,87.0
kraśnicki,60700.0,75944.0,46398.0,765.0,3329.0,29492.0,3972.0,93.0,1609.0,83.0,55.0,6876.0,25.0,99.0
lubartowski,60800.0,70445.0,44354.0,611.0,3860.0,27380.0,4168.0,93.0,1529.0,80.0,76.0,6419.0,33.0,105.0
lubelski,60900.0,122230.0,80083.0,1169.0,7393.0,45622.0,8426.0,198.0,3058.0,145.0,126.0,13668.0,66.0,212.0
łęczyński,61000.0,44411.0,27596.0,319.0,2943.0,16119.0,2889.0,48.0,769.0,55.0,34.0,4330.0,29.0,61.0
łukowski,61100.0,83026.0,53381.0,511.0,4288.0,35830.0,4723.0,102.0,1429.0,107.0,59.0,6188.0,30.0,114.0
opolski,61200.0,48188.0,28674.0,405.0,2092.0,18107.0,2595.0,53.0,1147.0,35.0,35.0,4127.0,17.0,61.0
parczewski,61300.0,28224.0,16539.0,224.0,1341.0,9732.0,1836.0,31.0,653.0,36.0,40.0,2601.0,15.0,30.0
puławski,61400.0,91564.0,59389.0,1147.0,4760.0,31611.0,6473.0,140.0,1530.0,121.0,84.0,13292.0,84.0,147.0
radzyński,61500.0,47351.0,28812.0,335.0,2295.0,18466.0,3030.0,57.0,873.0,64.0,39.0,3567.0,16.0,70.0
rycki,61600.0,44706.0,28870.0,480.0,1885.0,17517.0,3191.0,48.0,832.0,50.0,31.0,4742.0,35.0,59.0
świdnicki,61700.0,56541.0,35826.0,663.0,2822.0,19634.0,3916.0,67.0,953.0,71.0,48.0,7529.0,41.0,82.0
tomaszowski,61800.0,68120.0,38756.0,434.0,3032.0,24962.0,2996.0,77.0,1498.0,58.0,57.0,5542.0,19.0,81.0
włodawski,61900.0,31831.0,18673.0,344.0,1280.0,9794.0,2518.0,43.0,760.0,37.0,21.0,3816.0,20.0,40.0
zamojski,62000.0,87292.0,51847.0,601.0,3901.0,34324.0,4256.0,110.0,1780.0,107.0,71.0,6558.0,31.0,108.0
Biała Podlaska,66100.0,44122.0,28407.0,601.0,2221.0,13308.0,4269.0,64.0,665.0,55.0,42.0,7083.0,26.0,73.0
Chełm,66200.0,49050.0,29527.0,655.0,2089.0,13348.0,3799.0,58.0,639.0,67.0,54.0,8723.0,35.0,60.0
Lublin,66300.0,262007.0,175685.0,4263.0,14413.0,71730.0,22346.0,335.0,3836.0,526.0,274.0,57134.0,295.0,533.0
Zamość,66400.0,50502.0,30331.0,600.0,2254.0,14574.0,3625.0,60.0,696.0,54.0,33.0,8334.0,33.0,68.0
gorzowski,80100.0,54571.0,33571.0,777.0,2296.0,11262.0,5581.0,60.0,683.0,22.0,70.0,12712.0,46.0,62.0
krośnieński,80200.0,42577.0,24724.0,480.0,1353.0,8361.0,5683.0,27.0,504.0,14.0,33.0,8212.0,15.0,42.0
międzyrzecki,80300.0,45954.0,27460.0,566.0,1523.0,9645.0,5120.0,41.0,696.0,16.0,42.0,9717.0,38.0,56.0
nowosolski,80400.0,65718.0,39618.0,630.0,2024.0,15034.0,7952.0,47.0,786.0,31.0,45.0,12963.0,36.0,70.0
słubicki,80500.0,35605.0,20972.0,473.0,1326.0,6870.0,3784.0,25.0,425.0,16.0,34.0,7963.0,31.0,25.0
strzelecko-drezdenecki,80600.0,38407.0,21608.0,411.0,1147.0,8390.0,3679.0,30.0,563.0,12.0,35.0,7272.0,25.0,44.0
sulęciński,80700.0,27376.0,15823.0,304.0,1073.0,6292.0,2519.0,24.0,406.0,16.0,34.0,5110.0,19.0,26.0
świebodziński,80800.0,43255.0,26229.0,562.0,1805.0,9220.0,4749.0,55.0,626.0,23.0,34.0,9067.0,34.0,54.0
zielonogórski,80900.0,58412.0,35819.0,712.0,2415.0,11979.0,6674.0,57.0,700.0,29.0,54.0,13108.0,39.0,52.0
żagański,81000.0,60755.0,34740.0,811.0,1929.0,14019.0,6122.0,43.0,727.0,26.0,75.0,10882.0,46.0,60.0
żarski,81100.0,74117.0,42997.0,883.0,2554.0,15075.0,9074.0,63.0,746.0,37.0,50.0,14404.0,47.0,64.0
wschowski,81200.0,30288.0,17712.0,404.0,1063.0,8360.0,2486.0,34.0,442.0,24.0,16.0,4824.0,20.0,39.0
Gorzów Wielkopolski,86100.0,91547.0,58839.0,1428.0,3828.0,18331.0,8803.0,73.0,912.0,58.0,113.0,25086.0,67.0,140.0
Zielona Góra,86200.0,104944.0,73337.0,1972.0,4407.0,19056.0,12364.0,107.0,1367.0,81.0,121.0,33574.0,109.0,179.0
bełchatowski,100100.0,88016.0,58374.0,1179.0,4877.0,33460.0,6649.0,157.0,1216.0,70.0,92.0,10422.0,96.0,156.0
kutnowski,100200.0,77525.0,46965.0,951.0,2549.0,25424.0,4686.0,54.0,1149.0,32.0,54.0,11923.0,54.0,89.0
łaski,100300.0,40380.0,26319.0,502.0,1785.0,13398.0,3424.0,58.0,763.0,28.0,33.0,6244.0,28.0,56.0
łęczycki,100400.0,41223.0,24596.0,378.0,1374.0,14637.0,2543.0,38.0,717.0,24.0,37.0,4780.0,24.0,44.0
łowicki,100500.0,63265.0,40687.0,726.0,2883.0,23074.0,4499.0,72.0,1656.0,29.0,60.0,7541.0,30.0,117.0
łódzki wschodni,100600.0,57003.0,40394.0,868.0,2901.0,18029.0,5675.0,74.0,895.0,41.0,65.0,11694.0,62.0,90.0
opoczyński,100700.0,60327.0,40932.0,441.0,2607.0,26973.0,4477.0,61.0,1151.0,50.0,52.0,5010.0,40.0,70.0
pabianicki,100800.0,93812.0,62348.0,1601.0,3664.0,24956.0,8927.0,103.0,1304.0,134.0,89.0,21329.0,106.0,135.0
pajęczański,100900.0,41675.0,26193.0,469.0,1630.0,16140.0,2807.0,51.0,682.0,25.0,33.0,4290.0,14.0,52.0
piotrkowski,101000.0,72958.0,47708.0,666.0,3236.0,30518.0,4880.0,89.0,1399.0,54.0,54.0,6674.0,39.0,99.0
poddębicki,101100.0,33760.0,20968.0,329.0,1029.0,11799.0,2675.0,37.0,897.0,22.0,25.0,4098.0,18.0,39.0
radomszczański,101200.0,90583.0,55731.0,1109.0,3240.0,31031.0,6132.0,90.0,1440.0,63.0,87.0,12348.0,54.0,137.0
rawski,101300.0,38593.0,24114.0,318.0,1639.0,14424.0,2477.0,54.0,973.0,30.0,28.0,4097.0,19.0,55.0
sieradzki,101400.0,93573.0,58590.0,1126.0,3525.0,33070.0,6626.0,92.0,2039.0,60.0,73.0,11761.0,67.0,151.0
skierniewicki,101500.0,30338.0,20467.0,253.0,1406.0,13240.0,2187.0,46.0,760.0,11.0,26.0,2479.0,21.0,38.0
tomaszowski,101600.0,90966.0,59734.0,1130.0,3961.0,31607.0,7059.0,89.0,1700.0,75.0,53.0,13860.0,64.0,136.0
wieluński,101700.0,61130.0,38930.0,675.0,2347.0,21040.0,5155.0,69.0,1361.0,25.0,44.0,8093.0,39.0,82.0
wieruszowski,101800.0,33557.0,20556.0,329.0,1502.0,10951.0,2801.0,33.0,777.0,22.0,21.0,4072.0,13.0,35.0
zduńskowolski,101900.0,51683.0,33410.0,787.0,2027.0,16534.0,4654.0,56.0,727.0,35.0,58.0,8407.0,53.0,72.0
zgierski,102000.0,130589.0,87458.0,2137.0,5065.0,36318.0,12596.0,132.0,1912.0,64.0,119.0,28788.0,120.0,207.0
brzeziński,102100.0,24405.0,16053.0,258.0,981.0,8649.0,2033.0,29.0,637.0,20.0,24.0,3366.0,20.0,36.0
Łódź,106100.0,522350.0,350754.0,11259.0,19790.0,107557.0,50967.0,545.0,5837.0,315.0,607.0,152376.0,632.0,869.0
Piotrków Trybunalski,106200.0,56716.0,36988.0,944.0,2190.0,16078.0,5360.0,72.0,672.0,48.0,50.0,11453.0,52.0,69.0
Skierniewice,106300.0,36591.0,25338.0,587.0,1551.0,10278.0,4005.0,42.0,581.0,45.0,40.0,8104.0,38.0,67.0
bocheński,120100.0,82771.0,56951.0,697.0,4423.0,35473.0,5336.0,113.0,1985.0,54.0,58.0,8640.0,51.0,121.0
brzeski,120200.0,72797.0,46161.0,539.0,4365.0,28629.0,4145.0,67.0,1851.0,53.0,43.0,6352.0,26.0,91.0
chrzanowski,120300.0,97642.0,64146.0,1439.0,4412.0,27663.0,9017.0,107.0,1448.0,59.0,97.0,19662.0,71.0,171.0
dąbrowski,120400.0,47058.0,26598.0,243.0,1854.0,18518.0,1731.0,44.0,1436.0,14.0,15.0,2675.0,18.0,50.0
gorlicki,120500.0,86329.0,53391.0,634.0,4164.0,32537.0,5215.0,72.0,1524.0,65.0,65.0,8967.0,41.0,107.0
krakowski,120600.0,217961.0,151429.0,2664.0,11473.0,74488.0,19525.0,283.0,4703.0,140.0,176.0,37330.0,212.0,435.0
limanowski,120700.0,99826.0,67123.0,583.0,5203.0,48046.0,4358.0,91.0,1753.0,54.0,55.0,6784.0,39.0,157.0
miechowski ,120800.0,39891.0,24307.0,393.0,1488.0,14950.0,2117.0,68.0,1221.0,30.0,18.0,3937.0,25.0,60.0
myślenicki,120900.0,98333.0,68415.0,763.0,6024.0,41649.0,6745.0,149.0,1719.0,70.0,64.0,10976.0,66.0,190.0
nowosądecki,121000.0,165575.0,113310.0,1007.0,9032.0,80110.0,7686.0,185.0,2365.0,123.0,75.0,12479.0,54.0,194.0
nowotarski,121100.0,149487.0,90727.0,964.0,7946.0,58003.0,8116.0,145.0,1694.0,96.0,91.0,13405.0,79.0,188.0
olkuski,121200.0,88579.0,58971.0,1231.0,4189.0,29616.0,7238.0,111.0,1469.0,37.0,68.0,14791.0,81.0,140.0
oświęcimski,121300.0,120157.0,81670.0,1503.0,5922.0,38342.0,10417.0,130.0,2197.0,71.0,99.0,22715.0,96.0,178.0
proszowicki,121400.0,34882.0,20802.0,251.0,1280.0,13414.0,1674.0,44.0,1265.0,18.0,24.0,2775.0,26.0,31.0
Suski,121500.0,66552.0,42721.0,515.0,3799.0,25732.0,3808.0,53.0,966.0,39.0,59.0,7619.0,35.0,96.0
tarnowski,121600.0,158228.0,99079.0,1060.0,8078.0,64369.0,8320.0,143.0,4215.0,102.0,86.0,12404.0,78.0,224.0
tatrzański,121700.0,56469.0,37219.0,482.0,2695.0,20874.0,4039.0,56.0,646.0,37.0,38.0,8243.0,37.0,72.0
wadowicki,121800.0,124865.0,82487.0,1094.0,6274.0,43893.0,10597.0,118.0,2116.0,84.0,115.0,17912.0,83.0,201.0
wielicki,121900.0,99191.0,68901.0,1089.0,5582.0,32399.0,9281.0,129.0,2870.0,82.0,84.0,17132.0,72.0,181.0
Kraków,126100.0,606178.0,432777.0,15292.0,32690.0,137775.0,65841.0,929.0,11866.0,417.0,678.0,164340.0,1081.0,1868.0
Nowy Sącz,126200.0,63724.0,42865.0,697.0,3493.0,22116.0,4303.0,91.0,903.0,56.0,33.0,11011.0,41.0,121.0
Tarnów,126300.0,86573.0,55184.0,1090.0,4217.0,23856.0,6525.0,89.0,2271.0,62.0,75.0,16801.0,59.0,139.0
białobrzeski,140100.0,26594.0,17715.0,184.0,988.0,11884.0,1515.0,36.0,478.0,17.0,27.0,2539.0,14.0,33.0
ciechanowski,140200.0,70546.0,42946.0,755.0,2684.0,23786.0,4153.0,194.0,1611.0,33.0,48.0,9565.0,39.0,78.0
garwoliński,140300.0,84867.0,58874.0,574.0,4307.0,38391.0,5709.0,137.0,1593.0,72.0,55.0,7844.0,46.0,146.0
gostyniński,140400.0,36289.0,21820.0,346.0,1137.0,12636.0,2193.0,26.0,662.0,16.0,32.0,4712.0,21.0,39.0
grodziski,140500.0,73006.0,52627.0,1175.0,3162.0,19658.0,8076.0,126.0,1242.0,58.0,85.0,18843.0,79.0,123.0
grójecki,140600.0,78084.0,51263.0,769.0,3318.0,27764.0,5762.0,135.0,2749.0,51.0,63.0,10482.0,46.0,124.0
kozienicki,140700.0,49227.0,31969.0,430.0,2145.0,19518.0,2786.0,58.0,826.0,40.0,41.0,6035.0,24.0,66.0
legionowski,140800.0,90166.0,65448.0,1516.0,3609.0,23893.0,9208.0,169.0,1300.0,90.0,131.0,25252.0,106.0,174.0
lipski,140900.0,28006.0,15987.0,207.0,991.0,10339.0,1405.0,21.0,642.0,14.0,11.0,2307.0,21.0,29.0
łosicki,141000.0,25147.0,15442.0,206.0,1219.0,10237.0,1205.0,41.0,609.0,25.0,22.0,1828.0,11.0,39.0
makowski,141100.0,35843.0,22019.0,251.0,1377.0,14064.0,1924.0,39.0,721.0,21.0,12.0,3543.0,21.0,46.0
miński,141200.0,118907.0,82629.0,1384.0,5615.0,40832.0,12003.0,192.0,2065.0,118.0,103.0,19964.0,102.0,251.0
mławski,141300.0,56572.0,33534.0,454.0,2197.0,19190.0,3453.0,72.0,1064.0,37.0,32.0,6941.0,28.0,66.0
nowodworski,141400.0,62147.0,40811.0,746.0,2410.0,18894.0,5561.0,91.0,1009.0,39.0,55.0,11848.0,61.0,97.0
ostrołęcki,141500.0,69907.0,41621.0,386.0,3160.0,27293.0,4135.0,75.0,1278.0,47.0,70.0,5069.0,22.0,86.0
ostrowski,141600.0,57827.0,36586.0,473.0,2411.0,23356.0,3294.0,70.0,1016.0,28.0,41.0,5804.0,28.0,65.0
otwocki,141700.0,95597.0,69453.0,1180.0,4809.0,31668.0,9970.0,156.0,1511.0,103.0,84.0,19693.0,85.0,194.0
piaseczyński,141800.0,139530.0,102917.0,2385.0,6158.0,35102.0,15339.0,249.0,2079.0,101.0,148.0,40932.0,179.0,245.0
płocki,141900.0,87889.0,52617.0,787.0,3203.0,30657.0,5448.0,105.0,2723.0,27.0,66.0,9461.0,35.0,105.0
płoński,142000.0,69724.0,40927.0,522.0,2329.0,23452.0,4242.0,92.0,1323.0,55.0,49.0,8746.0,33.0,84.0
pruszkowski,142100.0,125563.0,94130.0,2249.0,5423.0,33046.0,13954.0,206.0,1898.0,140.0,174.0,36589.0,197.0,254.0
przasnyski,142200.0,40926.0,24124.0,327.0,1643.0,15008.0,2054.0,63.0,850.0,25.0,24.0,4067.0,22.0,41.0
przysuski,142300.0,34325.0,22463.0,210.0,1425.0,16202.0,1457.0,35.0,800.0,19.0,16.0,2244.0,10.0,45.0
pułtuski,142400.0,40949.0,25356.0,461.0,1549.0,14703.0,2412.0,62.0,1155.0,25.0,26.0,4892.0,17.0,54.0
radomski,142500.0,119598.0,76682.0,961.0,5346.0,49835.0,6943.0,137.0,1955.0,61.0,93.0,11182.0,55.0,114.0
siedlecki,142600.0,64258.0,42271.0,496.0,3558.0,29316.0,3021.0,77.0,1283.0,55.0,39.0,4321.0,27.0,78.0
sierpecki,142700.0,40895.0,23979.0,322.0,1373.0,14146.0,2756.0,40.0,815.0,25.0,27.0,4414.0,16.0,45.0
sochaczewski,142800.0,65495.0,42134.0,729.0,2760.0,21490.0,5098.0,75.0,1171.0,42.0,46.0,10568.0,45.0,110.0
sokołowski,142900.0,43964.0,28904.0,318.0,1883.0,18571.0,2494.0,62.0,1103.0,43.0,44.0,4297.0,27.0,62.0
szydłowiecki,143000.0,31374.0,19285.0,254.0,1631.0,12757.0,1541.0,44.0,399.0,10.0,17.0,2584.0,17.0,31.0
warszawski zachodni,143200.0,90717.0,66778.0,1457.0,4186.0,25188.0,9471.0,132.0,1336.0,78.0,106.0,24530.0,124.0,170.0
węgrowski,143300.0,53097.0,34465.0,433.0,2503.0,21228.0,3542.0,55.0,916.0,61.0,43.0,5590.0,27.0,67.0
wołomiński,143400.0,185964.0,131234.0,2351.0,9543.0,62107.0,18529.0,320.0,2549.0,173.0,234.0,34898.0,180.0,350.0
wyszkowski,143500.0,58794.0,38513.0,474.0,3062.0,22303.0,4237.0,64.0,1097.0,44.0,43.0,7096.0,23.0,70.0
zwoleński,143600.0,29088.0,17747.0,238.0,1065.0,11944.0,1489.0,29.0,642.0,20.0,12.0,2268.0,14.0,26.0
